"AccountEnabled","AlternativeSecurityIds","ApproximateLastSignInDateTime","ComplianceExpirationDateTime","DeletedDateTime","DeviceCategory","DeviceId","DeviceMetadata","DeviceOwnership","DeviceVersion","DisplayName","EnrollmentProfileName","Extensions","Id","IsCompliant","IsManaged","MdmAppId","MemberOf","OnPremisesLastSyncDateTime","OnPremisesSyncEnabled","OperatingSystem","OperatingSystemVersion","PhysicalIds","ProfileType","RegisteredOwners","RegisteredUsers","RegistrationDateTime","SystemLabels","TransitiveMemberOf","TrustType","AdditionalProperties"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","30/08/2023 05:35:10",,,,"c8fc3e83-ae07-4ddb-9d5d-cd7b1127afe1",,"Personal","2","Larissa’s iPhone",,,"2e2e9509-4bde-4439-b238-da81a02f195a","False","True","0000000a-0000-0000-c000-000000000000",,,,"IPhone","16.5.1","System.String[]","RegisteredDevice",,,"02/04/2023 11:26:59","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","21/12/2023 15:00:34",,,,"447392bb-888d-4adb-bd8c-7e60110e5fbd",,,"2","malware",,,"2e642561-e363-492a-93ac-3ae4d5b464be",,,,,,,"Windows","10.0.22621.2283","System.String[]","SecureVM",,,"14/09/2023 10:50:30","System.String[]",,"AzureAd","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","16/12/2023 11:28:28",,,,"40ffe4ce-5476-4afd-8798-b606aad1dc9a",,"Company","2","DriverServicing","ASAPCLOUD Laptops Admin User",,"3003833a-528c-4dc6-b718-7b8715c1c55b","True","True","0000000a-0000-0000-c000-000000000000",,,,"Windows","10.0.19045.3803","System.String[]","RegisteredDevice",,,"22/03/2023 09:10:11","System.String[]",,"AzureAd","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","15/01/2023 03:22:46",,,,"727da25e-88ec-47ff-aa90-2eb01d8743be",,"Personal","2","iPhone 12 Pro",,,"33392646-69a5-43c9-823c-938964c9d988","False","False",,,,,"IPhone","17.2","System.String[]","RegisteredDevice",,,"28/10/2020 19:36:28","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","21/12/2023 14:08:17",,,,"546ab355-51de-4154-89e9-2dbddb483ad8",,"Company","2","ACLT02","ASAPCLOUD Laptops Admin User",,"3694c7dc-9811-4224-bdb9-528f684c10b9","True","True","0000000a-0000-0000-c000-000000000000",,,,"Windows","10.0.22631.2861","System.String[]","RegisteredDevice",,,"31/07/2023 09:12:31","System.String[]",,"AzureAd","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","12/12/2023 11:19:55",,,,"25afb41a-b7ac-40c3-9e43-d9c6ecf24723",,"Company","2","ACDT02","ASAPCLOUD Laptops Admin User",,"375a5b67-7d9d-4977-b1aa-4562f47ad60e","True","True","0000000a-0000-0000-c000-000000000000",,,,"Windows","10.0.22631.2861","System.String[]","RegisteredDevice",,,"03/02/2023 13:12:54","System.String[]",,"AzureAd","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","16/05/2023 13:39:47",,,,"737f6074-9c48-4b64-8d43-972c088d7d05",,,"2","DESKTOP-FAIV1EV",,,"39185628-115e-4d71-9a04-67db58f7ae07",,,,,,,"Windows","10.0.19042.746","System.String[]","RegisteredDevice",,,"30/09/2021 20:30:33","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","19/12/2023 00:21:37",,,,"55fa4a96-de79-4984-a6f4-27b49d6b6735",,"Personal","2","Mathieu van Kooten PRO14",,,"3b3a2437-56a1-4e10-aab6-2564e2ef2d19","True","True","0000000a-0000-0000-c000-000000000000",,,,"IPhone","17.1.2","System.String[]","RegisteredDevice",,,"21/08/2023 06:01:07","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","17/09/2022 05:08:46",,,,"19b1eebf-a41d-46d9-b5bb-b45392735064",,"Personal","2","Dennis’s iPhone (2)",,,"3c00f233-d181-4686-a4b5-f494cbbd6af3","False","False",,,,,"IPhone","15.4.1","System.String[]","RegisteredDevice",,,"24/09/2021 15:50:25","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","14/12/2023 09:31:17",,,,"ff073762-4d93-4214-9693-0b88ba1319a6",,"Personal","2","iPhone van Martijn",,,"3dde75eb-6a39-4a93-8b2a-61fe3fd64149","True","True","0000000a-0000-0000-c000-000000000000",,,,"IPhone","17.1.2","System.String[]","RegisteredDevice",,,"06/07/2023 22:13:44","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","31/12/2021 12:35:27",,,,"07e2a238-da7a-4d31-8b1f-b0848c7b7d1b",,"Personal","2","Dennis’s iPhone",,,"41fae0e1-1812-4529-a555-2f18b755c92e","False","False",,,,,"IPhone","14.7.1","System.String[]","RegisteredDevice",,,"27/10/2020 19:59:05","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","06/06/2022 08:24:14",,,,"54fd74f3-3107-4a24-b5d3-7c2668df53ce",,"Company","2","ACLT05","ASAPCLOUD Laptops Admin User",,"4243855d-f003-467f-9a75-20f010549d27","False","False","0000000a-0000-0000-c000-000000000000",,,,"Windows","10.0.19042.867","System.String[]","RegisteredDevice",,,"04/09/2018 11:43:38","System.String[]",,"AzureAd","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"False","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","03/07/2023 17:03:37",,,,"afd8dfc6-3728-4916-b69a-5052e9811e05",,,"2","DESKTOP-SQ7GQB8",,,"44bbe8b4-fc49-4988-ad27-f125c1681585",,,,,,,"Windows","10.0.19041.572","System.String[]","RegisteredDevice",,,"19/10/2020 12:03:43","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
